text,label
"John Doe Software Developer Education Skills Experience Python C++ Projects",resume
"Software Engineer Education Experience Skills Work Experience Python Java Projects",resume
"Professional Summary Education Skills Experience Projects Machine Learning",resume
"Computer Science Graduate Technical Skills Education Experience Projects",resume
"Backend Developer Python FastAPI SQL Git Docker Experience Education",resume
"Frontend Developer React JavaScript HTML CSS Projects Experience Education",resume
"Data Scientist Python Machine Learning Pandas NumPy Statistics Experience",resume
"AI Engineer Deep Learning NLP Python TensorFlow PyTorch Education Experience",resume
"Web Developer HTML CSS JavaScript React Node.js Skills Projects",resume
"Software Developer Resume Education Experience Programming Skills Certifications",resume
"John Smith Curriculum Vitae Software Engineer Education Employment Skills",resume
"Professional Profile Software Developer Work History Education Technical Skills",resume
"Full Stack Developer Skills React Node MongoDB Python Projects Experience",resume
"Machine Learning Engineer Education Skills Python Scikit Learn TensorFlow Projects",resume
"DevOps Engineer Linux Docker Kubernetes AWS CI CD Experience Skills",resume
"Graduate Resume Bachelor Degree Education Technical Skills Internship Projects",resume
"Senior Software Engineer Professional Experience Leadership Skills Education",resume
"Junior Developer Career Objective Education Programming Skills Internship",resume
"Data Analyst Resume Excel SQL Python Tableau Education Experience",resume
"Cyber Security Analyst Resume Networking Linux Security Tools Education",resume
"Mobile App Developer Android Kotlin Java Projects Skills Experience",resume
"Cloud Engineer AWS Azure Docker Kubernetes Professional Experience",resume
"Mechanical Engineer Resume Education CAD Manufacturing Skills Experience",resume
"Electrical Engineer Resume Circuit Design MATLAB Projects Education Skills",resume
"Student Resume Objective Education Skills Academic Projects Internship",resume
"Certificate of Completion awarded to John Doe successfully completed Python course",certificate
"This certificate is awarded to John Doe for successful completion of the course",certificate
"Certificate of Achievement presented to the student for outstanding performance",certificate
"Certificate of Participation awarded for participating in the technical workshop",certificate
"Certificate of Excellence presented for exceptional academic performance",certificate
"This certificate certifies that the participant successfully completed the training program",certificate
"Certificate of Completion awarded after successful completion of machine learning training",certificate
"Certificate of Appreciation presented to John Smith for valuable contribution",certificate
